customer_id,total_bookings,cancel_rate,mean_lead_time,mean_adr,total_revenue,avg_stay_nights,total_guests,special_requests_mean,booking_changes_mean,used_promo_rate,repeated_rate,previous_cancel_mean,previous_success_mean,deposit_type_mode,customer_type_mode,recency_days,avg_spent_per_booking,freq_per_month,loyalty_index,engagement_score,cluster
ABW_15.0_Online TA,1,0.0,45.0,157.68,630.72,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0,2,440,630.72,0.0681818181818181,0.0,3.0,3
ABW_9.0_Online TA,1,0.0,207.0,99.0,297.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0,2,129,297.0,0.2325581395348837,0.0,2.0,3
AGO_128.0_Offline TA/TO,1,0.0,4.0,90.43,1266.02,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2,229,1266.02,0.131004366812227,0.0,2.0,2
AGO_14.0_Direct,51,0.7843137254901961,20.431372549019606,144.2453215686275,72317.52610000003,9.254901960784316,1.5294117647058822,0.0784313725490196,0.196078431372549,0.0,0.0588235294117647,0.0,0.0588235294117647,0,2,78,1417.990707843138,19.615384615384613,0.0659340659340659,0.2745098039215686,0
AGO_152.0_Online TA,1,0.0,0.0,54.31,54.31,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0,2,655,54.31,0.0458015267175572,0.0,2.0,3
AGO_171.0_Groups,1,0.0,29.0,65.0,195.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,236,195.0,0.1271186440677966,0.0,0.0,1
AGO_216.0_Corporate,1,0.0,26.0,99.2,198.4,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,531,198.4,0.0564971751412429,0.0,1.0,1
AGO_240.0_Online TA,11,0.4545454545454545,50.72727272727273,188.8290909090909,8898.47,3.8181818181818183,2.636363636363636,1.181818181818182,0.3636363636363636,1.0,0.0,0.0,0.0,0,2,32,808.9518181818181,10.3125,0.0,2.5454545454545454,3
AGO_250.0_Direct,2,0.0,1.0,114.0,346.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,150,173.0,0.4,0.0,0.0,1
AGO_294.0_Offline TA/TO,1,0.0,12.0,110.0,1980.0,18.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0,2,349,1980.0,0.0859598853868194,0.0,3.0,2
AGO_71.0_Corporate,1,0.0,0.0,95.67,669.69,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,657,669.69,0.045662100456621,0.0,2.0,2
AGO_9.0_Online TA,182,0.7802197802197802,33.8021978021978,115.95088681318684,209832.844,10.5,1.9725274725274728,0.554945054945055,0.2527472527472527,1.0,0.0219780219780219,0.0604395604395604,0.0714285714285714,0,2,23,1152.9277142857145,237.3913043478261,0.0524691358024691,1.8076923076923077,0
AGO_95.0_Corporate,2,0.0,11.0,100.0,1000.0,5.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0,3,699,500.0,0.0858369098712446,0.0,0.5,1
AGO_NoAgent_Complementary,5,0.0,2.0,0.0,0.0,3.6,1.4,0.4,0.2,0.0,0.0,0.0,0.0,0,2,303,0.0,0.495049504950495,0.0,0.6000000000000001,1
AGO_NoAgent_Corporate,3,0.0,0.3333333333333333,116.33333333333331,1014.0,3.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,0.0,0.0,0.0,0.0,0,2,299,338.0,0.3010033444816054,0.0,3.0,2
AGO_NoAgent_Direct,70,0.0857142857142857,3.657142857142857,106.15658142857144,27333.6407,3.8,1.6857142857142855,0.5428571428571428,0.7428571428571429,0.0,0.1428571428571428,0.0428571428571428,0.1857142857142857,0,2,21,390.48058142857144,100.0,0.3026315789473684,1.2857142857142856,1
AGO_NoAgent_Offline TA/TO,3,0.0,3.0,62.776666666666664,744.99,4.0,1.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.3333333333333333,0,2,186,248.33,0.4838709677419354,0.3333333333333333,1.3333333333333333,1
AGO_NoAgent_Online TA,7,0.0,7.142857142857143,114.83428571428573,4357.08,5.285714285714286,1.8571428571428572,1.4285714285714286,1.0,1.0,0.1428571428571428,0.0,0.2857142857142857,0,2,126,622.4399999999999,1.6666666666666663,0.4285714285714285,3.428571428571429,3
AIA_8.0_Online TA,1,0.0,0.0,261.6207000000011,1046.4828000000043,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2,429,1046.4828000000043,0.0699300699300699,0.0,1.0,3
